,e,r,roll_avg_r,roll_std_r,upper_r,lower_r
285,285,393.0,309.56,110.6500569454928,526.4341116131659,92.68588838683411
286,286,500.0,310.62,112.23606499567894,530.6026873915307,90.63731260846927
287,287,500.0,310.62,112.23606499567894,530.6026873915307,90.63731260846927
288,288,500.0,315.4,115.1316903482658,541.0581130826009,89.741886917399
289,289,500.0,320.18,117.75843312233971,550.9865289197858,89.37347108021419
290,290,433.0,321.32,118.58286347615352,553.7424124132609,88.89758758673909
291,291,387.0,322.36,118.9327987236695,555.4682854983922,89.25171450160778
292,292,440.0,321.96,118.49325478090056,554.2067793705651,89.71322062943489
293,293,500.0,321.96,118.49325478090056,554.2067793705651,89.71322062943489
294,294,494.0,329.18,117.7404079892259,559.9511996588827,98.40880034111726
295,295,367.0,326.52,115.27911823934463,552.4670717491155,100.57292825088453
296,296,262.0,321.76,112.85796744725874,542.9616161966271,100.55838380337286
297,297,376.0,325.48,111.48336381794033,543.987393083163,106.97260691683698
298,298,381.0,328.6,110.79471732783601,545.7576459625586,111.44235403744145
299,299,294.0,329.3,110.4560583052216,545.7938742782344,112.80612572176568
300,300,500.0,334.62,112.164945959247,554.4632940801241,114.77670591987587
301,301,328.0,337.62,109.87300461376819,552.9710890429857,122.26891095701436
302,302,346.0,339.92,108.79391489585863,553.156073195883,126.6839268041171
303,303,187.0,341.12,106.70838384903716,550.2684323441129,131.97156765588718
304,304,500.0,346.08,108.23422070035073,558.2190725726874,133.94092742731254
305,305,204.0,344.62,109.66793849933472,559.569159458696,129.67084054130396
306,306,500.0,347.96,111.82857872837401,567.144014307613,128.7759856923869
307,307,500.0,354.64,110.70751315691152,571.6267257875465,137.65327421245343
308,308,302.0,355.7,109.92636682092682,571.1556789690165,140.24432103098343
309,309,474.0,359.24,110.84362215043566,576.4934994148539,141.9865005851461
310,310,500.0,363.64,111.99448966036542,583.1491997343162,144.13080026568377
311,311,385.0,367.58,109.11762797409892,581.4505508292339,153.7094491707661
312,312,497.0,371.36,110.27900793821422,587.5068555588998,155.21314444110016
313,313,293.0,367.54,109.60359185236018,582.3630400306259,152.71695996937407
314,314,222.0,367.56,109.57639400185133,582.3297322436285,152.7902677563714
315,315,210.0,368.92,107.11406089219241,578.8635593486972,158.97644065130288
316,316,371.0,372.84,103.3943037155157,575.4928352824107,170.1871647175892
317,317,218.0,372.26,104.19287648493086,576.4780379104645,168.0419620895355
318,318,194.0,368.4,107.16818748193535,578.4496474645932,158.3503525354067
319,319,216.0,362.72,107.57627384269048,573.5694967316733,151.87050326832667
320,320,500.0,366.54,109.0113661926299,580.2022777375546,152.87772226244545
321,321,177.0,363.22,112.22340874072458,583.1778811318202,143.26211886817987
322,322,500.0,369.3,111.20935395983219,587.2703337612711,151.32966623872892
323,323,500.0,373.22,112.30957398264515,593.3467650059845,153.09323499401555
324,324,437.0,376.08,112.0715587725729,595.7402551942429,156.41974480575712
325,325,153.0,370.16,115.89375148235145,597.3117529054089,143.00824709459118
326,326,395.0,373.7,113.83612460597075,596.8188042277027,150.58119577229732
327,327,500.0,377.7,114.70410024164293,602.5200364736202,152.87996352637984
328,328,443.0,381.2,113.95595282245435,604.5536675320105,157.84633246798947
329,329,292.0,379.72,114.63589921030443,604.4063624521967,155.03363754780335
330,330,452.0,384.28,112.83580991866,605.4381874405735,163.12181255942636
331,331,391.0,385.5,112.56639763957534,606.1301393735677,164.86986062643234
332,332,407.0,386.92,112.37688773924624,607.1786999689226,166.6613000310774
333,333,499.0,388.08,113.24253185269275,610.0353624312778,166.1246375687222
334,334,378.0,385.96,112.39924467754045,606.2625195679793,165.6574804320207
335,335,382.0,385.74,112.39594916079082,606.03606035515,165.44393964485002
336,336,308.0,381.9,111.6902147980414,600.8128210041612,162.98717899583883
337,337,250.0,376.9,111.8910275259652,596.2064139508918,157.59358604910818
338,338,491.0,376.72,111.69602335201124,595.6442057699421,157.795794230058
339,339,471.0,376.14,111.1165980731363,593.9285322233471,158.35146777665284
340,340,500.0,377.48,112.2148522309969,597.4211103727539,157.5388896272461
341,341,500.0,379.74,113.54057262781899,602.2795223505252,157.2004776494748
342,342,500.0,380.94,114.50343725346029,605.3667370167822,156.51326298321783
343,343,278.0,376.5,114.09595853973977,600.12807873789,152.87192126211005
344,344,500.0,376.62,114.22514287715336,600.5012800392205,152.73871996077943
345,345,255.0,374.38,115.5086161641773,600.7768876817875,147.9831123182125
346,346,500.0,379.14,115.6867709791911,605.8860711192145,152.39392888078544
347,347,500.0,381.62,116.94039821504735,610.8231805014927,152.4168194985072
348,348,500.0,384.0,118.13240582550758,615.5395154179948,152.46048458200517
349,349,97.0,380.06,124.31861797619122,623.7244912333348,136.39550876666522
350,350,500.0,380.06,124.31861797619122,623.7244912333348,136.39550876666522
351,351,500.0,383.5,125.22506269325875,628.9411228787872,138.05887712121284
352,352,500.0,386.58,126.17417343028761,633.8813799233637,139.2786200766363
353,353,500.0,392.84,123.81262340442383,635.5127418726706,150.16725812732926
354,354,500.0,392.84,123.81262340442383,635.5127418726706,150.16725812732926
355,355,310.0,394.96,121.39713206443287,632.8983788462883,157.02162115371158
356,356,500.0,394.96,121.39713206443287,632.8983788462883,157.02162115371158
357,357,500.0,394.96,121.39713206443287,632.8983788462883,157.02162115371158
358,358,500.0,398.92,121.53219779976325,637.123107687536,160.71689231246404
359,359,500.0,399.44,121.915018913728,638.3934370709069,160.4865629290931
360,360,500.0,399.44,121.915018913728,638.3934370709069,160.4865629290931
361,361,500.0,401.74,122.71916005619465,642.2695537101415,161.21044628985848
362,362,500.0,401.8,122.76740909009133,642.424121816579,161.175878183421
363,363,500.0,405.94,122.51354110914434,646.0665405739229,165.8134594260771
364,364,481.0,411.12,120.02782670561619,646.3745403430078,175.86545965699227
